,Player Name,Matches Played,Matches Won,Matches Lost,Total Royal Rumble Matches,Total Royal Rumble Wins,WWE RAW Matches,NXT New Year's Evil Matches,WWE SmackDown Matches,NXT Vengeance Day Matches,WWE Elimination Chamber Matches,NXT Roadblock Matches,NXT Stand & Deliver Matches,NXT Spring Breakin' Matches,WWE Draft Matches,WWE Backlash Matches,WWE King and Queen of the Ring Matches,NXT Battleground Matches,WWE Clash at the Castle: Scotland Matches,WWE Money in the Bank Matches,NXT Heatwave Matches,NXT The Great American Bash Matches,WWE SummerSlam Matches,NXT No Mercy Matches,WWE Bad Blood Matches,NXT Halloween Havoc Matches,WWE Crown Jewel Matches,WWE Survivor Series Matches,NXT Deadline Matches,WWE Saturday Night's Main Event XXXVII Matches,WWE WrestleMania XL Matches,WWE Bash in Berlin Matches,NXT 2300 Matches,WWE RAW Wins,NXT New Year's Evil Wins,WWE SmackDown Wins,NXT Vengeance Day Wins,WWE Elimination Chamber Wins,NXT Roadblock Wins,NXT Stand & Deliver Wins,NXT Spring Breakin' Wins,WWE Draft Wins,WWE Backlash Wins,WWE King and Queen of the Ring Wins,NXT Battleground Wins,WWE Clash at the Castle: Scotland Wins,WWE Money in the Bank Wins,NXT Heatwave Wins,NXT The Great American Bash Wins,WWE SummerSlam Wins,NXT No Mercy Wins,WWE Bad Blood Wins,NXT Halloween Havoc Wins,WWE Crown Jewel Wins,WWE Survivor Series Wins,NXT Deadline Wins,WWE Saturday Night's Main Event XXXVII Wins,WWE WrestleMania XL Wins,WWE Bash in Berlin Wins,NXT 2300 Wins,Total Title Matches,Total Title Matches Won
0,Ivy Nile,1,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,Logan Paul,4,2.0,2.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2
2,Finn Bálor,4,1.0,3.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
3,Duke Hudson,2,0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
4,Natalya,3,0,3.0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Sami Zayn,9,7.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,7,6
6,Grayson Waller,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Candice LeRae,4,1.0,3.0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
8,Dragon Lee,2,1.0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,Bianca Belair & Jade Cargill,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
10,Stephanie Vaquer,3,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
