Event Name,Winner,Loser,Title Match
WWE RAW,Nia Jax,Becky Lynch,No
WWE RAW,Jey Uso,Ludwig Kaiser,No
WWE RAW,Jey Uso,Fabian Aichner,No
WWE RAW,Kofi Kingston,Ludwig Kaiser,No
WWE RAW,Kofi Kingston,Fabian Aichner,No
WWE RAW,The Miz,JD McDonagh,No
WWE RAW,R-Truth,Dominik Mysterio,No
WWE RAW,Shayna Baszler,Natalya,No
WWE RAW,Shayna Baszler,Tegan Nox,No
WWE RAW,Zoey Stark,Natalya,No
WWE RAW,Zoey Stark,Tegan Nox,No
NXT New Year's Evil,Carlito,Drew Gulak,No
NXT New Year's Evil,Arianna Grace,Roxanne Perez,No
NXT New Year's Evil,Fallon Henley,Tiffany Stratton,No
NXT New Year's Evil,Oba Femi,Riley Osborne,No
NXT New Year's Evil,Trick Williams,Grayson Waller,No
WWE SmackDown,Kevin Owens,Santos Escobar,No
WWE SmackDown,Pete Dunne,Kit Wilson,No
WWE SmackDown,Randy Orton,LA Knight,No
WWE SmackDown,AJ Styles,LA Knight,No
WWE Royal Rumble,Bayley,Many,No
WWE Royal Rumble,Cody Rhodes,Many,No
NXT Vengeance Day,Baron Corbin,Carmelo Hayes,No
NXT Vengeance Day,Bron Breakker,Trick Williams,No
NXT Vengeance Day,Dijak,Joe Gacy,No
NXT Vengeance Day,Tony D'Angelo,Bronco Nima,No
NXT Vengeance Day,"Channing ""Stacks"" Lorenzo",Lucien Price,No
NXT Vengeance Day,Adriana Rizzo,Jaida Parker,No
WWE Elimination Chamber,Becky Lynch,Naomi,No
WWE Elimination Chamber,Drew McIntyre,LA Knight,No
NXT Roadblock,Dijak,Joe Gacy,No
NXT Roadblock,Shawn Spears,Uriah Connors,No
NXT Roadblock,Fallon Henley,Blair Davenport,No
NXT Roadblock,Tony D'Angelo,Carmelo Hayes,No
NXT Stand & Deliver,Joe Gacy,Shawn Spears,No
NXT Stand & Deliver,Fallon Henley,Izzi Dame,No
NXT Stand & Deliver,Kelani Jordan,Jacy Jayne,No
NXT Stand & Deliver,Thea Hail,Kiana James,No
NXT Stand & Deliver,Trick Williams,Carmelo Hayes,No
NXT Spring Breakin',Tony D'Angelo,Charlie Dempsey,No
NXT Spring Breakin',Jaida Parker,Fallon Henley,No
NXT Spring Breakin',Sol Ruca,Blair Davenport,No
NXT Spring Breakin',Lexis King,Baron Corbin,No
NXT Spring Breakin',Thea Hail,Jacy Jayne,No
NXT Spring Breakin',Luke Gallows,Tyson DuPont,No
NXT Spring Breakin',Ridge Holland,Shawn Spears,No
NXT Spring Breakin',Lola Vice,Natalya,No
WWE Draft,Rey Mysterio,Angel,No
WWE Draft,Dragon Lee,Berto,No
WWE Draft,Bron Breakker,Cedric Alexander,No
WWE Draft,Naomi,Tiffany Stratton,No
WWE Draft,Cody Rhodes,Carmelo Hayes,No
WWE Draft,Gunther,Xavier Woods,No
WWE Draft,Candice LeRae,Maxxine Dupri,No
WWE Draft,Liv Morgan,Nia Jax,No
WWE Draft,Jey Uso,Damian Priest,No
WWE Draft,Andrade,Finn Balor,No
WWE Draft,Ricochet,JD McDonagh,No
WWE Backlash,Randy Orton,Solo Sikoa,No
WWE Backlash,Kevin Owens,Tama Tonga,No
WWE King and Queen of the Ring,Nia Jax,Lyra Valkyria,No
WWE King and Queen of the Ring,Gunther,Randy Orton,No
NXT Battleground,Lola Vice,Shayna Baszler,No
WWE Money in the Bank,Drew McIntyre,Jey Uso,No
WWE Money in the Bank,Drew McIntyre,LA Knight,No
WWE Money in the Bank,Tiffany Stratton,IYO SKY,No
WWE Money in the Bank,Solo Sikoa,Cody Rhodes,No
WWE Money in the Bank,Tama Tonga,Cody Rhodes,No
WWE Money in the Bank,Jacob Fatu,Cody Rhodes,No
NXT Heatwave,Karmen Petrovic,Jacy Jayne,No
NXT Heatwave,Arianna Grace,Jacy Jayne,No
NXT The Great American Bash,Cedric Alexander,Brooks Jensen,No
NXT The Great American Bash,Jaida Parker,Kendal Grey,No
NXT The Great American Bash,Jazmyn Nyx,Sol Ruca,No
NXT The Great American Bash,Jacy Jayne, Karmen Petrovic,No
NXT The Great American Bash,Fallon Henley,Lola Vice,No
NXT The Great American Bash,Pete Dunne,Trick Williams,No
NXT The Great American Bash,Joe Hendry,Joe Coffey,No
NXT The Great American Bash,Wren Sinclair,Kendal Grey,No
WWE SummerSlam,Drew McIntyre,CM Punk,No
NXT No Mercy,Zachary Wentz,Wes Lee,No
WWE Bad Blood,CM Punk,Drew McIntyre,No
WWE Bad Blood,Damian Priest,Finn Balor,No
WWE Bad Blood,Cody Rhodes,Jacob Fatu,No
WWE Bad Blood,Roman Reigns,Solo Sikoa,No
NXT Halloween Havoc,Giulia,Roxanne Perez,No
NXT Halloween Havoc,Stephanie Vaquer,Cora Jade,No
NXT Halloween Havoc,Ridge Holland,Andre Chase,No
WWE Crown Jewel,Solo Sikoa,Jimmy Uso,No
WWE Crown Jewel,Jacob Fatu,Jey Uso,No
WWE Crown Jewel,Tama Tonga,Roman Reigns,No
WWE Crown Jewel,"Seth ""Freakin"" Rollins","""Big"" Bronson Reed",No
WWE Crown Jewel,Liv Morgan,Nia Jax,No
WWE Survivor Series,Naomi,Candice LeRae,No
WWE Survivor Series,IYO SKY,Raquel Rodriguez,No
WWE Survivor Series,Bayley,Tiffany Stratton,No
WWE Survivor Series,Bianca Belair,Nia Jax,No
WWE Survivor Series,Rhea Ripley,Liv Morgan,No
WWE Survivor Series,CM Punk,Big Bronson Reed,No
WWE Survivor Series,Sami Zayn,Tonga Loa,No
WWE Survivor Series,Jimmy Uso,Tama Tonga,No
WWE Survivor Series,Jey Uso,Jacob Fatu,No
WWE Survivor Series,Roman Reigns,Solo Sikoa,No
NXT Deadline,Oba Femi,Ethan Page,No
NXT Deadline,Lola Vice,Jaida Parker,No
NXT Deadline,Giulia,Stephanie Vaquer,No
WWE Saturday Night's Main Event XXXVII,Drew McIntyre,Sami Zayn,No
WWE WrestleMania XL,Andrade,Rey Mysterio,No
WWE WrestleMania XL,Jey Uso,Jimmy Uso,No
WWE WrestleMania XL,Bianca Belair,Naomi,No
WWE WrestleMania XL,Roman Reigns,The Rock,No
WWE WrestleMania XL,Angelo Dawkins,Bobby Lashley,No
WWE WrestleMania XL,LA Knight,AJ Styles,No
WWE Bash in Berlin,CM Punk,Drew McIntyre,No
WWE Bash in Berlin,Damian Priest,Dominik Mysterio,No
WWE Bash in Berlin,Rhea Ripley,Dominik Mysterio,No
NXT 2300,Jaida Parker,Lola Vice,No
NXT 2300,Je'Von Evans,Wes Lee,No
NXT 2300,Ethan Page,Trick Williams,No
NXT 2300,Giulia,Roxanne Perez,No
NXT 2300,Stephanie Vaquer,Cora Jade,No
NXT 2300,Zaria,Fallon Henley,No
NXT 2300,Jordynne Grace,Jacy Jayne,No
NXT 2300,Kelani Jordan,Jazmyn Nyx,No
WWE RAW,Rhea Ripley,Ivy Nile,Yes
WWE RAW,Seth Rollins,Drew McIntyre,Yes
NXT New Year's Evil,Lyra Valkyria,Blair Davenport,Yes
WWE SmackDown,IYO SKY,Michin,Yes
WWE Royal Rumble,Roman Reigns,Randy Orton,Yes
WWE Royal Rumble,Logan Paul,Kevin Owens,Yes
NXT Vengeance Day,Lyra Valkyria,Roxanne Perez,Yes
NXT Vengeance Day,Oba Femi,Dragon Lee,Yes
NXT Vengeance Day,Ilja Dragunov,Trick Williams,Yes
WWE Elimination Chamber,Asuka,Candice LeRae,Yes
WWE Elimination Chamber,Kairi Sane,Candice LeRae,Yes
WWE Elimination Chamber,Rhea Ripley,Nia Jax,Yes
WWE Elimination Chamber,Damian Priest,Pete Dunne,Yes
WWE Elimination Chamber,Finn Balor,Pete Dunne,Yes
NXT Roadblock,Baron Corbin,Andre Chase,Yes
NXT Roadblock,Bron Breakker,Duke Hudson,Yes
NXT Roadblock,Asuka,Lyra Valkyria,Yes
NXT Roadblock,Kairi Sane,Tatum Paxley,Yes
NXT Stand & Deliver,Baron Corbin,Axiom,Yes
NXT Stand & Deliver,Bron Breakker,Nathan Frazer,Yes
NXT Stand & Deliver,Oba Femi,Dijak,Yes
NXT Stand & Deliver,Josh Briggs,Dijak,Yes
NXT Stand & Deliver,Roxanne Perez,Lyra Valkyria,Yes
NXT Stand & Deliver,Ilja Dragunov,Tony D'Angelo,Yes
NXT Spring Breakin',Roxanne Perez,Lyra Valkyria,Yes
NXT Spring Breakin',Trick Williams,Ilja Dragunov,Yes
NXT Spring Breakin',Oba Femi,Ivar,Yes
NXT Spring Breakin',Axiom,Akam,Yes
WWE Draft,Sami Zayn,Bronson Reed,Yes
WWE Draft,The Miz,Otis,Yes
WWE Draft,R-Truth,Akira Tozawa,Yes
WWE Backlash,Bayley,Naomi,Yes
WWE Backlash,Bianca Belair,Asuka,Yes
WWE Backlash,Jade Cargill,Kairi Sane,Yes
WWE Backlash,Damian Priest,Jey Uso,Yes
WWE Backlash,Cody Rhodes,AJ Styles,Yes
WWE King and Queen of the Ring,Jade Cargill,Indi Hartwell,
WWE King and Queen of the Ring,Bianca Belair,Candice LeRae,Yes
WWE King and Queen of the Ring,Liv Morgan,Becky Lynch,Yes
WWE King and Queen of the Ring,Sami Zayn,Chad Gable,Yes
WWE King and Queen of the Ring,Sami Zayn,"""Big"" Bronson Reed",Yes
WWE King and Queen of the Ring,Cody Rhodes,Logan Paul,Yes
NXT Battleground,Kelani Jordan,Lash Legend,Yes
NXT Battleground,Axiom,Luke Gallows,Yes
NXT Battleground,Oba Femi,Wes Lee,Yes
NXT Battleground,Roxanne Perez,Jordynne Grace,Yes
NXT Battleground,Trick Williams,Ethan Page,Yes
WWE Clash at the Castle: Scotland,Cody Rhodes,AJ Styles,Yes
WWE Clash at the Castle: Scotland,Alba Fyre,Bianca Belair,Yes
WWE Clash at the Castle: Scotland,Isla Dawn,Jade Cargill,Yes
