Event Name,Winner,Loser,Title Match (Yes/No)
WWE Worlds Collide,Kay Lee Ray,Mia Yim,No
WWE Worlds Collide,Finn Balor,Ilja Dragunov,No
WWE Worlds Collide,Jordan Devlin,Angel Garza,Yes
WWE Worlds Collide,Tommaso Ciampa,Trent Seven,No
WWE Worlds Collide,Rhea Ripley,Toni Storm,Yes
WWE Worlds Collide,WALTER,Adam Cole,No
WWE Royal Rumble,Sheamus,Shorty G,No
WWE Royal Rumble,Andrade,Humberto Carrillo,Yes
WWE Royal Rumble,Roman Reigns,Baron Corbin,No
WWE Royal Rumble,Charlotte Flair,Many,No
WWE Royal Rumble,Bayley,Lacey Evans,Yes
WWE Royal Rumble,Bray Wyatt / The Fiend,Daniel Bryan,Yes
WWE Royal Rumble,Becky Lynch,Asuka,Yes
WWE Royal Rumble,Drew McIntyre,Many,No
WWE Super ShowDown,Luke Gallows,Erik,No
WWE Super ShowDown,Karl Anderson,Ivar,No
WWE Super ShowDown,AJ Styles,Andrade,No
WWE Super ShowDown,Bobby Lashley, R-Truth,No
WWE Super ShowDown,Rey Mysterio, Erick Rowan,No
WWE Super ShowDown,Big E,The Miz,Yes
WWE Super ShowDown,Kofi Kingston,John Morrison,Yes
WWE Super ShowDown,Humberto Carrillo,Angel Garza,No
WWE Super ShowDown,Seth Rollins,Angelo Dawkins,Yes
WWE Super ShowDown,Seth Rollins,Montez Ford,Yes
WWE Super ShowDown,Dolph Ziggler,Mansoor,No
WWE Super ShowDown,Brock Lesnar,Ricochet,Yes
WWE Super ShowDown,Roman Reigns,Baron Corbin,No
WWE Super ShowDown,Bayley,Naomi,Yes
WWE Super ShowDown,Goldberg,Bray Wyatt / The Fiend,Yes
WWE Elimination Chamber,Erik,Zack Ryder,No
WWE Elimination Chamber,Ivar,Curt Hawkins,No
WWE Elimination Chamber,Daniel Bryan,Drew Gulak,No
WWE Elimination Chamber,Andrade,Humberto Carrillo,Yes
WWE Elimination Chamber,The Miz,Jimmy Uso,Yes
WWE Elimination Chamber,John Morrison,Jey Uso,Yes
WWE Elimination Chamber,Aleister Black,AJ Styles,No
WWE Elimination Chamber,Angelo Dawkins,Seth Rollins,Yes
WWE Elimination Chamber,Montez Ford,Buddy Murphy,Yes
WWE Elimination Chamber,Braun Strowman,Shinsuke Nakamura,Yes
WWE Elimination Chamber,Cesaro,Braun Strowman,Yes
WWE Elimination Chamber,Sami Zayn,Braun Strowman,Yes
WWE Elimination Chamber,Shayna Baszler,Natalya,No
WWE Elimination Chamber,Shayna Baszler,Ruby Riott,No
WWE Elimination Chamber,Shayna Baszler,Sarah Logan,No
WWE Elimination Chamber,Shayna Baszler,Liv Morgan,No
WWE Elimination Chamber,Shayna Baszler,Asuka,No
WWE Money in the Bank,Jeff Hardy,Cesaro,No
WWE Money in the Bank,Big E,The Miz,Yes
WWE Money in the Bank,Kofi Kingston,John Morrison,Yes
WWE Money in the Bank,Bobby Lashley,R-Truth,No
WWE Money in the Bank,Bayley,Tamina,Yes
WWE Money in the Bank,Braun Strowman,Bray Wyatt / The Fiend,Yes
WWE Money in the Bank,Drew McIntyre,Seth Rollins,Yes
WWE Money in the Bank,Asuka,Shayna Baszler,Yes
WWE Money in the Bank,Asuka,Nia Jax,Yes
WWE Money in the Bank,Asuka,Lacey Evans,Yes
WWE Money in the Bank,Asuka,Carmella,Yes
WWE Money in the Bank,Asuka,Dana Brooke,Yes
WWE Money in the Bank,Daniel Bryan,Aleister Black,No
WWE Money in the Bank,Daniel Bryan,Baron Corbin,No
