Event Name,Winner,Loser,Title Match
WWE Royal Rumble,Shayna Baszler,Asuka,Yes
WWE Royal Rumble,Nia Jax,Charlotte Flair,Yes
WWE Royal Rumble,Drew McIntyre,Goldberg,Yes
WWE Royal Rumble,Sasha Banks,Carmella,Yes
WWE Royal Rumble,Alicia Fox,R-Truth,Yes
WWE Royal Rumble,R-Truth,Alicia Fox,Yes
WWE Royal Rumble,Bianca Belair,Many,No
WWE Royal Rumble,Roman Reigns,Kevin Owens,Yes
WWE Royal Rumble,Edge,Many,No
WWE Elimination Chamber,Daniel Bryan,Cesaro,No
WWE Elimination Chamber,Kevin Owens,Jey Uso,No
WWE Elimination Chamber,Roman Reigns,Daniel Bryan,Yes
WWE Elimination Chamber,Bobby Lashley,Riddle,Yes
WWE Elimination Chamber,Shayna Baszler,Sasha Banks,Yes
WWE Elimination Chamber,Drew McIntyre,Randy Orton,Yes
WWE Elimination Chamber,Drew McIntyre,AJ Styles,Yes
WWE Elimination Chamber,Drew McIntyre,Sheamus,Yes
WWE Elimination Chamber,The Miz,Drew McIntyre,Yes
WWE Fastlane,Riddle,Mustafa Ali,Yes
WWE Fastlane,Shayna Baszler,Sasha Banks,Yes
WWE Fastlane,Nia Jax,Bianca Belair,Yes
WWE Fastlane,Big E,Apollo Crews,Yes
WWE Fastlane,Joseph Average,R-Truth,No
WWE Fastlane,R-Truth,Rick Boogs,No
WWE Fastlane,Braun Strowman,Elias,No
WWE Fastlane,Seth Rollins,Shinsuke Nakamura,No
WWE Fastlane,Drew McIntyre,Sheamus,No
WWE Fastlane,Alexa Bliss,Randy Orton,No
WWE Fastlane,Roman Reigns,Daniel Bryan,Yes
WWE Hell in a Cell,Natalya,Mandy Rose,No
WWE Hell in a Cell,Bianca Belair,Bayley,Yes
WWE Hell in a Cell,Seth Rollins,Cesaro,No
WWE Hell in a Cell,Alexa Bliss,Shayna Baszler,No
WWE Hell in a Cell,Sami Zayn,Kevin Owens,No
WWE Hell in a Cell,Charlotte Flair,Rhea Ripley,Yes
WWE Hell in a Cell,Bobby Lashley,Drew McIntyre,Yes
NXT,Nash Carter,Tommaso Ciampa,Yes
NXT,Wes Lee,Timothy Thatcher,Yes
NXT,LA Knight,Cameron Grimes,Yes
NXT,Io Shirai,Candice LeRae,Yes
NXT,Zoey Stark,Indi Hartwell,Yes
NXT,Adam Cole,Kyle O'Reilly,No
WWE Money in the Bank,Jimmy Uso,Rey Mysterio,Yes
WWE Money in the Bank,Jey Uso,Dominik Mysterio,Yes
WWE Money in the Bank,Nikki A.S.H.,Asuka,No
WWE Money in the Bank,AJ Styles,Erik,Yes
WWE Money in the Bank,AJ Styles,Ivar,Yes
WWE Money in the Bank,Bobby Lashley,Kofi Kingston,Yes
WWE Money in the Bank,Charlotte Flair,Rhea Ripley,Yes
WWE Money in the Bank,Big E,Seth Rollins,No
WWE Money in the Bank,Roman Reigns,Edge,Yes
WWE SummerSlam,Big E,Baron Corbin,No
WWE SummerSlam,Randy Orton,AJ Styles,Yes
WWE SummerSlam,Alexa Bliss,Eva Marie,No
WWE SummerSlam,Damian Priest,Sheamus,Yes
WWE SummerSlam,Jimmy Uso,Rey Mysterio,Yes
WWE SummerSlam,Becky Lynch,Bianca Belair,Yes
WWE SummerSlam,Drew McIntyre,Jinder Mahal,No
WWE SummerSlam,Charlotte Flair,Nikki A.S.H.,Yes
WWE SummerSlam,Edge,Seth Rollins,No
WWE SummerSlam,Bobby Lashley,Goldberg,Yes
WWE SummerSlam,Roman Reigns,John Cena,Yes
WWE Extreme Rules,Liv Morgan,Carmella,No
WWE Extreme Rules,Big E,Bobby Lashley,No
WWE Extreme Rules,Jimmy Uso,Angelo Dawkins,Yes
WWE Extreme Rules,Charlotte Flair,Alexa Bliss,Yes
WWE Extreme Rules,Damian Priest,Sheamus,Yes
WWE Extreme Rules,Becky Lynch,Bianca Belair,Yes
WWE Extreme Rules,Roman Reigns,Finn Bálor,Yes
WWE Draft,Happy Corbin,Kevin Owens,No
WWE Draft,Kofi Kingston,Dolph Ziggler,No
WWE Draft,Kofi Kingston,Chad Gable,No
WWE Draft,Xavier Woods,Dolph Ziggler,No
WWE Draft,Xavier Woods,Chad Gable,No
WWE Draft,Sasha Banks,Bianca Belair,No
WWE Draft,Damian Priest,Jeff Hardy,Yes
WWE Draft,Shayna Baszler,Dana Brooke,No
WWE Draft,Angel Garza,Mustafa Ali,No
WWE Draft,Angel Garza,Mansoor,No
WWE Draft,Humberto Carrillo,Mustafa Ali,No
WWE Draft,Humberto Carrillo,Mansoor,No
WWE Draft,Big E,Dolph Ziggler,No
WWE Draft,Big E,Robert Roode,No
WWE Draft,Drew McIntyre,Dolph Ziggler,No
WWE Draft,Drew McIntyre,Robert Roode,No
WWE Draft,Rhea Ripley,Natalya,Yes
WWE Draft,Nikki A.S.H.,Natalya,Yes
WWE Draft,Nikki A.S.H.,Tamina,Yes
WWE Draft,Kofi Kingston,Shelton Benjamin,No
WWE Draft,Kofi Kingston,Cedric Alexander,No
WWE Draft,Xavier Woods,Shelton Benjamin,No
WWE Draft,Xavier Woods,Cedric Alexander,No
WWE Draft,Bianca Belair,Charlotte Flair,No
WWE King of the Ring,Sami Zayn,Rey Mysterio,No
WWE King of the Ring,Finn Bálor,Cesaro,No
WWE King of the Ring,Xavier Woods,Ricochet,No
WWE King of the Ring,Jinder Mahal,Kofi Kingston,No
WWE King of the Ring,Finn Bálor,Sami Zayn,No
WWE King of the Ring,Xavier Woods,Jinder Mahal,No
WWE King of the Ring,Xavier Woods,Finn Bálor,No
WWE Crown Jewel,Jimmy Uso,Shelton Benjamin,No
WWE Crown Jewel,Jey Uso,Cedric Alexander,No
WWE Crown Jewel,Edge,Seth Rollins,No
WWE Crown Jewel,Mansoor,Mustafa Ali,No
WWE Crown Jewel,Randy Orton,AJ Styles,Yes
WWE Crown Jewel,Randy Orton,Omos,Yes
WWE Crown Jewel,Riddle,AJ Styles,Yes
WWE Crown Jewel,Riddle,Omos,Yes
WWE Crown Jewel,Doudrop,Zelina Vega,No
WWE Crown Jewel,Goldberg,Bobby Lashley,No
WWE Crown Jewel,Xavier Woods,Finn Bálor,No
WWE Crown Jewel,Big E,Drew McIntyre,Yes
WWE Crown Jewel,Becky Lynch,Sasha Banks,Yes
WWE Crown Jewel,Becky Lynch,Bianca Belair,Yes
WWE Crown Jewel,Roman Reigns,Brock Lesnar,Yes
NXT Halloween Havoc,Gigi Dolin,Io Shirai,Yes
NXT Halloween Havoc,Gigi Dolin,Zoey Stark,Yes
NXT Halloween Havoc,Jacy Jayne,Io Shirai,Yes
NXT Halloween Havoc,Jacy Jayne,Zoey Stark,Yes
NXT Halloween Havoc,Joe Gacy,Malik Blade,No
NXT Halloween Havoc,Roderick Strong,Odyssey Jones,No
NXT Halloween Havoc,Mandy Rose,Raquel González,Yes
NXT Halloween Havoc,Fabian Aichner,Nash Carter,Yes
NXT Halloween Havoc,Fabian Aichner,Wes Lee,Yes
NXT Halloween Havoc,Marcel Barthel,Nash Carter,Yes
NXT Halloween Havoc,Marcel Barthel,Wes Lee,Yes
NXT Halloween Havoc,Tommaso Ciampa,Bron Breakker,Yes
WWE Tribute To The Troops,Big E,Dolph Ziggler,No
WWE Tribute To The Troops,Bianca Belair,Liv Morgan,No
WWE Tribute To The Troops,Roman Reigns,Shinsuke Nakamura,Yes
WWE Survivor Series,Shinsuke Nakamura,Damian Priest,No
WWE Survivor Series,Becky Lynch,Charlotte Flair,Yes
WWE Survivor Series,Seth Rollins,Drew McIntyre,No
WWE Survivor Series,Omos,,No
WWE Survivor Series,Randy Orton,Jimmy Uso,Yes
WWE Survivor Series,Matt Riddle,Jey Uso,Yes
WWE Survivor Series,Bianca Belair,Sasha Banks,No
WWE Survivor Series,Rhea Ripley,Shayna Baszler,No
WWE Survivor Series,Liv Morgan,Toni Storm,No
WWE Survivor Series,Carmella,Toni Storm,No
WWE Survivor Series,Roman Reigns,Big E,Yes
NXT WarGames,Raquel González,Dakota Kai,No
NXT WarGames,Io Shirai,"Toxic Attraction (Mandy Rose, Gigi Dolin, Jacy Jayne)",No
NXT WarGames,Kay Lee Ray,Dakota Kai,No
NXT WarGames,Cora Jade,Dakota Kai,No
NXT WarGames,Fabian Aichner,Kyle O'Reilly,Yes
NXT WarGames,Marcel Barthel,Kyle O'Reilly,Yes
NXT WarGames,Cameron Grimes,Duke Hudson,No
NXT WarGames,Roderick Strong,Joe Gacy,Yes
NXT WarGames,Bron Breakker,Tommaso Ciampa,No
NXT WarGames,Carmelo Hayes,Tommaso Ciampa,No
NXT WarGames,Tony D'Angelo,Tommaso Ciampa,No
NXT WarGames,Grayson Waller,Johnny Gargano,No
NXT WarGames,Bron Breakker,Pete Dunne,No
NXT WarGames,Carmelo Hayes,Pete Dunne,No
NXT WarGames,Tony D'Angelo,Pete Dunne,No
NXT WarGames,Grayson Waller,LA Knight,No
